scenario_id,kpi,strategy_1,strategy_2,cohens_d,magnitude
1,total_time_min,distance,time,-2.072,large
1,total_time_min,time,priority,1.667,large
1,total_time_min,distance,priority,-0.893,large
1,total_distance_km,distance,time,0.539,medium
1,total_distance_km,time,priority,1.265,large
1,total_distance_km,distance,priority,1.806,large
1,people_reached_within_60min,distance,time,0.613,medium
1,people_reached_within_60min,time,priority,-0.089,negligible
1,people_reached_within_60min,distance,priority,0.528,medium
1,priority1_shelters_reached_within_60min,distance,time,1.47,large
1,priority1_shelters_reached_within_60min,time,priority,-1.417,large
1,priority1_shelters_reached_within_60min,distance,priority,0.351,small
1,avg_speed_kmh,distance,time,5.649,large
1,avg_speed_kmh,time,priority,0.261,small
1,avg_speed_kmh,distance,priority,7.264,large
1,shelters_reached_within_60min,distance,time,1.47,large
1,shelters_reached_within_60min,time,priority,-1.417,large
1,shelters_reached_within_60min,distance,priority,0.351,small
1,time_to_50pct_people_min,distance,time,-1.977,large
1,time_to_50pct_people_min,time,priority,-0.384,small
1,time_to_50pct_people_min,distance,priority,-2.304,large
2,total_time_min,distance,time,-2.266,large
2,total_time_min,time,priority,1.158,large
2,total_time_min,distance,priority,-1.553,large
2,total_distance_km,distance,time,0.547,medium
2,total_distance_km,time,priority,0.85,large
2,total_distance_km,distance,priority,1.411,large
2,people_reached_within_60min,distance,time,1.123,large
2,people_reached_within_60min,time,priority,0.127,negligible
2,people_reached_within_60min,distance,priority,1.157,large
2,priority1_shelters_reached_within_60min,distance,time,1.459,large
2,priority1_shelters_reached_within_60min,time,priority,-1.642,large
2,priority1_shelters_reached_within_60min,distance,priority,0.391,small
2,avg_speed_kmh,distance,time,6.338,large
2,avg_speed_kmh,time,priority,0.078,negligible
2,avg_speed_kmh,distance,priority,7.494,large
2,shelters_reached_within_60min,distance,time,1.459,large
2,shelters_reached_within_60min,time,priority,-1.642,large
2,shelters_reached_within_60min,distance,priority,0.391,small
2,time_to_50pct_people_min,distance,time,-1.392,large
2,time_to_50pct_people_min,time,priority,-0.883,large
2,time_to_50pct_people_min,distance,priority,-2.12,large
3,total_time_min,distance,time,-2.99,large
3,total_time_min,time,priority,0.919,large
3,total_time_min,distance,priority,-2.534,large
3,total_distance_km,distance,time,0.645,medium
3,total_distance_km,time,priority,0.682,medium
3,total_distance_km,distance,priority,1.32,large
3,people_reached_within_60min,distance,time,2.797,large
3,people_reached_within_60min,time,priority,0.187,negligible
3,people_reached_within_60min,distance,priority,2.959,large
3,priority1_shelters_reached_within_60min,distance,time,3.793,large
3,priority1_shelters_reached_within_60min,time,priority,-1.37,large
3,priority1_shelters_reached_within_60min,distance,priority,1.557,large
3,avg_speed_kmh,distance,time,6.983,large
3,avg_speed_kmh,time,priority,0.028,negligible
3,avg_speed_kmh,distance,priority,7.531,large
3,shelters_reached_within_60min,distance,time,3.793,large
3,shelters_reached_within_60min,time,priority,-1.37,large
3,shelters_reached_within_60min,distance,priority,1.557,large
