scenario_id,strategy,total_distance_km,total_time_min,avg_speed_kmh,shelters_served,shelters_unreachable,total_people_served,coverage_rate_pct,time_to_50pct_people_min,shelters_reached_within_60min,priority1_shelters_reached_within_60min,people_reached_within_60min,priority1_people_reached_within_60min
1,distance,37.81,76.25,29.57,8.0,0.0,2154.0,100.0,16.77,6.57,6.57,1937.33,1848.85
1,priority,55.99,64.95,51.38,8.0,0.0,2154.0,100.0,8.29,6.99,6.99,2119.82,2107.75
1,time,42.94,50.71,50.33,8.0,0.0,2154.0,100.0,9.27,8.0,8.0,2154.0,2145.03
2,distance,49.44,116.56,25.31,8.0,0.0,3513.65,100.0,19.49,5.53,5.53,2838.38,2566.95
2,priority,69.74,83.38,49.76,8.0,0.0,3513.65,100.0,8.47,6.1,6.1,3411.37,3270.47
2,time,57.06,68.52,49.42,8.0,0.0,3513.65,100.0,11.48,7.51,7.51,3362.6,3291.72
3,distance,59.61,222.57,16.03,8.0,0.0,4797.7,100.0,41.76,3.21,3.21,2778.88,2117.48
3,priority,86.27,113.48,45.22,8.0,0.0,4797.7,100.0,8.83,4.77,4.77,4333.0,3930.07
3,time,71.99,94.87,45.07,8.0,0.0,4797.7,100.0,17.29,6.37,6.37,4254.65,3945.28
4,distance,126.54,508.95,14.81,19.99,0.01,11601.45,99.95,93.52,6.46,1.66,5616.6,621.05
4,priority,189.79,293.99,38.65,19.99,0.01,11601.45,99.95,83.25,3.17,3.17,5362.22,4060.0
4,time,153.17,242.56,37.68,19.99,0.01,11601.45,99.95,37.94,9.89,2.66,9095.83,1083.73
5,distance,134.4,627.99,12.71,19.59,0.41,13690.35,97.95,117.99,5.26,1.33,4480.63,673.82
5,priority,204.66,384.66,31.96,19.59,0.41,13690.35,97.95,133.22,2.41,2.41,6264.73,3653.13
5,time,164.45,314.61,31.24,19.59,0.41,13690.35,97.95,51.83,8.43,2.09,9074.05,784.43
6,distance,134.7,707.18,11.34,18.71,1.29,14472.4,93.55,138.26,4.3,0.87,3838.97,373.52
6,priority,203.92,465.71,26.66,18.71,1.29,14472.4,93.55,257.08,1.78,1.78,5966.1,2929.1
6,time,169.97,390.52,26.28,18.71,1.29,14472.4,93.55,83.9,7.43,1.36,6733.33,437.43
