scenario_id,strategy,total_distance_km,total_time_min,avg_speed_kmh,shelters_served,shelters_unreachable,total_people_served,coverage_rate_pct,time_to_50pct_people_min,shelters_reached_within_60min,priority1_shelters_reached_within_60min,people_reached_within_60min,priority1_people_reached_within_60min
1,distance,9.25,15.47,2.53,0.0,0.0,390.04,0.0,4.62,1.38,1.38,312.44,333.99
1,priority,10.82,9.02,3.41,0.0,0.0,390.04,0.0,2.4,1.0,1.0,376.31,384.05
1,time,9.78,8.03,4.54,0.0,0.0,390.04,0.0,2.72,0.0,0.0,390.04,400.3
2,distance,13.38,27.21,2.33,0.0,0.0,395.23,0.0,6.97,1.79,1.79,562.53,715.85
2,priority,15.33,13.1,3.98,0.0,0.0,395.23,0.0,2.35,1.0,1.0,416.97,365.49
2,time,14.48,12.58,4.85,0.0,0.0,395.23,0.0,4.21,0.69,0.69,345.35,339.0
3,distance,18.38,57.17,2.36,0.0,0.0,423.47,0.0,17.87,0.57,0.57,615.24,659.24
3,priority,21.87,20.99,4.95,0.0,0.0,423.47,0.0,2.66,1.29,1.29,416.03,522.95
3,time,19.95,19.48,5.39,0.0,0.0,423.47,0.0,8.13,1.03,1.03,422.13,608.16
4,distance,31.9,89.42,1.79,0.1,0.1,465.51,0.5,63.41,1.48,1.26,2225.02,603.07
4,priority,32.7,34.83,4.04,0.1,0.1,465.51,0.5,61.07,0.68,0.68,730.59,735.35
4,time,33.77,34.83,4.73,0.1,0.1,465.51,0.5,16.84,2.18,1.68,1951.68,827.96
5,distance,39.99,129.49,1.81,0.55,0.55,609.67,2.75,58.64,1.35,1.04,2415.04,683.79
5,priority,43.27,62.95,4.43,0.55,0.55,609.67,2.75,81.93,0.52,0.52,939.93,736.41
5,time,43.75,56.81,5.4,0.55,0.55,609.67,2.75,22.33,1.64,1.44,3095.12,703.31
6,distance,41.87,137.04,2.18,0.84,0.84,1164.41,4.21,64.11,1.06,0.78,1830.11,413.49
6,priority,45.12,98.32,4.84,0.84,0.84,1164.41,4.21,96.95,0.5,0.5,1520.98,763.73
6,time,43.99,76.16,5.21,0.84,0.84,1164.41,4.21,39.73,1.63,1.19,2883.8,479.95
