scenario_id,strategy,n,total_distance_km_mean,total_distance_km_ci_low,total_distance_km_ci_high,total_time_min_mean,total_time_min_ci_low,total_time_min_ci_high,avg_speed_kmh_mean,avg_speed_kmh_ci_low,avg_speed_kmh_ci_high,shelters_served_mean,shelters_served_ci_low,shelters_served_ci_high,shelters_unreachable_mean,shelters_unreachable_ci_low,shelters_unreachable_ci_high,total_people_served_mean,total_people_served_ci_low,total_people_served_ci_high,coverage_rate_pct_mean,coverage_rate_pct_ci_low,coverage_rate_pct_ci_high,time_to_50pct_people_min_mean,time_to_50pct_people_min_ci_low,time_to_50pct_people_min_ci_high,shelters_reached_within_60min_mean,shelters_reached_within_60min_ci_low,shelters_reached_within_60min_ci_high,priority1_shelters_reached_within_60min_mean,priority1_shelters_reached_within_60min_ci_low,priority1_shelters_reached_within_60min_ci_high,people_reached_within_60min_mean,people_reached_within_60min_ci_low,people_reached_within_60min_ci_high,priority1_people_reached_within_60min_mean,priority1_people_reached_within_60min_ci_low,priority1_people_reached_within_60min_ci_high
1,distance,300,37.81,36.76,38.85,76.25,74.5,78.0,29.57,29.29,29.86,8.0,8.0,8.0,0.0,0.0,0.0,2154.0,2109.86,2198.14,100.0,100.0,100.0,16.77,16.25,17.29,6.57,6.41,6.73,6.57,6.41,6.73,1937.33,1901.98,1972.69,1848.85,1811.06,1886.64
1,priority,300,55.99,54.76,57.21,64.95,63.92,65.97,51.38,51.0,51.77,8.0,8.0,8.0,0.0,0.0,0.0,2154.0,2109.86,2198.14,100.0,100.0,100.0,8.29,8.01,8.56,6.99,6.88,7.11,6.99,6.88,7.11,2119.82,2077.23,2162.4,2107.75,2064.29,2151.21
1,time,300,42.94,41.83,44.05,50.71,49.8,51.62,50.33,49.82,50.85,8.0,8.0,8.0,0.0,0.0,0.0,2154.0,2109.86,2198.14,100.0,100.0,100.0,9.27,8.96,9.58,8.0,8.0,8.0,8.0,8.0,8.0,2154.0,2109.86,2198.14,2145.03,2099.74,2190.33
2,distance,300,49.44,47.92,50.95,116.56,113.48,119.64,25.31,25.05,25.58,8.0,8.0,8.0,0.0,0.0,0.0,3513.65,3468.92,3558.38,100.0,100.0,100.0,19.49,18.7,20.28,5.53,5.33,5.73,5.53,5.33,5.73,2838.38,2774.73,2902.04,2566.95,2485.94,2647.96
2,priority,300,69.74,68.0,71.47,83.38,81.9,84.87,49.76,49.31,50.21,8.0,8.0,8.0,0.0,0.0,0.0,3513.65,3468.92,3558.38,100.0,100.0,100.0,8.47,8.2,8.73,6.1,5.98,6.21,6.1,5.98,6.21,3411.37,3364.18,3458.55,3270.47,3229.11,3311.83
2,time,300,57.06,55.43,58.7,68.52,67.09,69.94,49.42,48.87,49.97,8.0,8.0,8.0,0.0,0.0,0.0,3513.65,3468.92,3558.38,100.0,100.0,100.0,11.48,11.0,11.95,7.51,7.43,7.58,7.51,7.43,7.58,3362.6,3323.52,3401.68,3291.72,3253.35,3330.08
3,distance,300,59.61,57.53,61.69,222.57,216.11,229.04,16.03,15.76,16.29,8.0,8.0,8.0,0.0,0.0,0.0,4797.7,4749.78,4845.62,100.0,100.0,100.0,41.76,39.74,43.78,3.21,3.15,3.28,3.21,3.15,3.28,2778.88,2709.26,2848.5,2117.48,2042.88,2192.08
3,priority,300,86.27,83.8,88.74,113.48,111.1,115.85,45.22,44.66,45.78,8.0,8.0,8.0,0.0,0.0,0.0,4797.7,4749.78,4845.62,100.0,100.0,100.0,8.83,8.53,9.13,4.77,4.62,4.92,4.77,4.62,4.92,4333.0,4285.92,4380.08,3930.07,3870.89,3989.24
3,time,300,71.99,69.74,74.25,94.87,92.67,97.08,45.07,44.46,45.68,8.0,8.0,8.0,0.0,0.0,0.0,4797.7,4749.78,4845.62,100.0,100.0,100.0,17.29,16.37,18.21,6.37,6.25,6.49,6.37,6.25,6.49,4254.65,4206.88,4302.42,3945.28,3876.46,4014.1
4,distance,300,126.54,122.93,130.15,508.95,498.83,519.07,14.81,14.61,15.02,19.99,19.98,20.0,0.01,-0.0,0.02,11601.45,11548.77,11654.13,99.95,99.89,100.01,93.52,86.35,100.7,6.46,6.29,6.62,1.66,1.52,1.8,5616.6,5364.82,5868.38,621.05,552.81,689.29
4,priority,300,189.79,186.09,193.49,293.99,290.05,297.94,38.65,38.2,39.11,19.99,19.98,20.0,0.01,-0.0,0.02,11601.45,11548.77,11654.13,99.95,99.89,100.01,83.25,76.34,90.16,3.17,3.09,3.25,3.17,3.09,3.25,5362.22,5279.54,5444.89,4060.0,3976.79,4143.21
4,time,300,153.17,149.35,156.99,242.56,238.61,246.5,37.68,37.15,38.22,19.99,19.98,20.0,0.01,-0.0,0.02,11601.45,11548.77,11654.13,99.95,99.89,100.01,37.94,36.03,39.85,9.89,9.65,10.14,2.66,2.47,2.85,9095.83,8874.98,9316.69,1083.73,990.04,1177.43
5,distance,300,134.4,129.87,138.92,627.99,613.34,642.64,12.71,12.5,12.91,19.59,19.53,19.65,0.41,0.35,0.47,13690.35,13621.36,13759.34,97.95,97.64,98.26,117.99,111.36,124.63,5.26,5.1,5.41,1.33,1.21,1.45,4480.63,4207.35,4753.92,673.82,596.44,751.2
5,priority,300,204.66,199.76,209.56,384.66,377.53,391.78,31.96,31.46,32.46,19.59,19.53,19.65,0.41,0.35,0.47,13690.35,13621.36,13759.34,97.95,97.64,98.26,133.22,123.95,142.49,2.41,2.35,2.47,2.41,2.35,2.47,6264.73,6158.37,6371.1,3653.13,3569.8,3736.47
