scenario_id,kpi,strategy_1,strategy_2,mean_1,mean_2,diff,t_statistic,p_raw,p_bonferroni,significance
1,total_time_min,distance,time,76.25,50.71,-25.54,25.374,0.0,0.0,***
1,total_time_min,time,priority,50.71,64.95,14.23,-20.416,0.0,0.0,***
1,total_time_min,distance,priority,76.25,64.95,-11.3,10.932,0.0,0.0,***
1,total_distance_km,distance,time,37.81,42.94,5.13,-6.605,0.0,0.0,***
1,total_distance_km,time,priority,42.94,55.99,13.05,-15.499,0.0,0.0,***
1,total_distance_km,distance,priority,37.81,55.99,18.18,-22.121,0.0,0.0,***
1,people_reached_within_60min,distance,time,1937.33,2154.0,216.67,-7.509,0.0,0.0,***
1,people_reached_within_60min,time,priority,2154.0,2119.82,-34.18,1.092,0.275084,0.825252,ns
1,people_reached_within_60min,distance,priority,1937.33,2119.82,182.48,-6.462,0.0,0.0,***
1,priority1_shelters_reached_within_60min,distance,time,6.57,8.0,1.43,-18.01,0.0,0.0,***
1,priority1_shelters_reached_within_60min,time,priority,8.0,6.99,-1.01,17.35,0.0,0.0,***
1,priority1_shelters_reached_within_60min,distance,priority,6.57,6.99,0.42,-4.305,2e-05,5.9e-05,***
1,avg_speed_kmh,distance,time,29.57,50.33,20.76,-69.186,0.0,0.0,***
1,avg_speed_kmh,time,priority,50.33,51.38,1.05,-3.201,0.001446,0.004339,**
1,avg_speed_kmh,distance,priority,29.57,51.38,21.81,-88.967,0.0,0.0,***
1,shelters_reached_within_60min,distance,time,6.57,8.0,1.43,-18.01,0.0,0.0,***
1,shelters_reached_within_60min,time,priority,8.0,6.99,-1.01,17.35,0.0,0.0,***
1,shelters_reached_within_60min,distance,priority,6.57,6.99,0.42,-4.305,2e-05,5.9e-05,***
1,time_to_50pct_people_min,distance,time,16.77,9.27,-7.5,24.213,0.0,0.0,***
1,time_to_50pct_people_min,time,priority,9.27,8.29,-0.98,4.699,3e-06,1e-05,***
1,time_to_50pct_people_min,distance,priority,16.77,8.29,-8.48,28.214,0.0,0.0,***
2,total_time_min,distance,time,116.56,68.52,-48.04,27.753,0.0,0.0,***
2,total_time_min,time,priority,68.52,83.38,14.87,-14.177,0.0,0.0,***
2,total_time_min,distance,priority,116.56,83.38,-33.17,19.024,0.0,0.0,***
2,total_distance_km,distance,time,49.44,57.06,7.63,-6.702,0.0,0.0,***
2,total_distance_km,time,priority,57.06,69.74,12.67,-10.411,0.0,0.0,***
2,total_distance_km,distance,priority,49.44,69.74,20.3,-17.281,0.0,0.0,***
2,people_reached_within_60min,distance,time,2838.38,3362.6,524.22,-13.755,0.0,0.0,***
2,people_reached_within_60min,time,priority,3362.6,3411.37,48.77,-1.56,0.119281,0.357843,ns
2,people_reached_within_60min,distance,priority,2838.38,3411.37,572.98,-14.173,0.0,0.0,***
2,priority1_shelters_reached_within_60min,distance,time,5.53,7.51,1.98,-17.868,0.0,0.0,***
2,priority1_shelters_reached_within_60min,time,priority,7.51,6.1,-1.41,20.105,0.0,0.0,***
2,priority1_shelters_reached_within_60min,distance,priority,5.53,6.1,0.57,-4.787,2e-06,7e-06,***
2,avg_speed_kmh,distance,time,25.31,49.42,24.11,-77.621,0.0,0.0,***
2,avg_speed_kmh,time,priority,49.42,49.76,0.34,-0.95,0.342297,1.0,ns
2,avg_speed_kmh,distance,priority,25.31,49.76,24.45,-91.785,0.0,0.0,***
2,shelters_reached_within_60min,distance,time,5.53,7.51,1.98,-17.868,0.0,0.0,***
2,shelters_reached_within_60min,time,priority,7.51,6.1,-1.41,20.105,0.0,0.0,***
2,shelters_reached_within_60min,distance,priority,5.53,6.1,0.57,-4.787,2e-06,7e-06,***
2,time_to_50pct_people_min,distance,time,19.49,11.48,-8.02,17.052,0.0,0.0,***
2,time_to_50pct_people_min,time,priority,11.48,8.47,-3.01,10.812,0.0,0.0,***
2,time_to_50pct_people_min,distance,priority,19.49,8.47,-11.03,25.965,0.0,0.0,***
3,total_time_min,distance,time,222.57,94.87,-127.7,36.623,0.0,0.0,***
